51482237,51749490,50902325,51118582,49363296
50784539,51264352,50228121,50456742,50815300
51955976,50642030,51010715,50783409,52061366
50245770,50392112,51726695,50193172,50562610
52579774,51815381,49485822,51471166,50836002
50209306,51551128,51269511,50025707,52603255
50487762,51127238,50601324,51653669,49367937
50415853,51114581,49321009,50150247,51209472
51352096,51479141,50113876,51965775,51764723
51667118,53167899,51219955,50078529,53357449
50945744,49395027,51044659,52491224,53198505
49898360,50708765,51598904,48973855,50598999
50078777,50627109,50805892,51836192,50306343
49933505,50778707,50128496,50361668,52490488
50700879,50394153,49052575,49985758,52438230
50717529,50622397,50597045,49969193,50413540
51660788,50797032,51164120,51671728,51333813
49553410,49558286,48448964,49456296,50483564
52028654,51143717,49629808,50405124,51186862
49902287,50158083,53249269,51367217,50012730
49305284,51268882,51315731,49729963,50359534
49895726,49267823,50972307,50607336,50589103
51020244,49049986,50464021,52816184,50025157
49654170,49813548,50190868,52196555,49558508
50083001,50937072,50452021,50555827,49886979
50601492,48663729,50422994,50011736,51697059
51802605,52018397,49960488,50504841,49296657
49717771,51442011,50708490,48718713,49799534
52276520,50362988,50661533,51072873,49226154
50361325,50312837,50288701,50470266,51875169
49560997,51587861,51676891,51263574,50708959
51276772,50106405,52057613,50268732,50853016
49768457,50071826,51524808,50577321,52406440
52727700,50281923,50559933,53478265,50762251
50968929,49768278,51441887,52672613,50205716
50020673,50849876,51901292,52115336,52198600
49463804,51253442,49949057,50693720,48879709
51152126,51468294,51118811,51614290,51341434
51350754,51084665,50531517,50626367,50680933
51728891,51678127,50389779,51981300,49324440
50704336,51858659,51743789,51075731,51600247
50996541,49758711,51034665,50910195,49804088
52329417,52631357,51339633,51277714,51439967
50428558,51394395,51332865,50318308,50538661
52141628,51594951,49007664,50980352,50350915
49242812,51964138,50886831,49678800,50656913
51667646,51590176,52980909,50607958,51284010
50497176,50258940,50941612,49586019,50713363
50232248,50429866,51292199,49634007,50910871
48378829,50075236,52271910,50302131,50592157
51304302,51121024,51415143,52822439,51835277
49420730,50639818,49085488,52632810,50234969
49158205,51029373,50858925,50232912,54215070
50479254,52339195,50898348,49321416,48976970
51700667,50805606,50710709,50658467,50385274
51499807,51613718,50522202,51830146,51095308
51447860,51131399,52048120,50068859,51512276
50209834,49851123,50437385,49774061,50879660
51041658,50212111,50486785,50270340,50691154
48923620,50346993,52235742,51358324,51812890
51599315,50784745,51029187,51030192,50125720
53557999,51766159,51706733,52646493,50305906
49943576,49076480,51965322,51495054,51229130
51242558,49609025,51017553,51148860,51757201
49747899,49966164,51008297,51760081,51181990
50072595,49890053,52034564,51921821,51368031
50454707,51055808,52264919,51481030,48928172
51605982,51380853,51057265,52374902,50276629
49726342,51232661,49118458,50524111,50768118
49286824,50329279,52824922,50449559,51875216
52557789,49118425,49865230,49903323,52088755
52348777,50924574,49814044,51036079,49282085
50745015,49277932,50428595,51879602,49098744
50675434,52817295,50291255,50061639,50610272
51298242,48947511,51856167,51020220,49577915
51379561,52200013,52358436,50492230,51371856
52999947,50490188,51704621,50971336,51509913
51969283,51440377,50349601,50980106,51722945
51327215,49767353,51553401,49205442,48917213
47897954,50220349,52437327,50240498,50935713
51080341,50409866,51418657,49839705,51935470
51063671,49709357,50682450,52746950,49473947
48394222,51186453,50307787,49891916,52410690
52008537,51962710,50939648,49615840,50844984
52749800,49385302,50540792,48482439,51315644
49972886,49429328,50127496,51599335,50537495
50236039,50546677,53110550,52324821,51024522
51311796,49896013,50510075,51174335,47348884
51696393,50693624,51615425,50556891,50821065
50445256,49771224,51835584,52475498,52290151
51230775,51640688,53388621,51966914,51268897
50296968,50488518,52399149,49519704,50260102
50703205,48369271,50821467,51511642,50644267
50343670,50634744,50122003,50325239,51167296
49763884,49197797,48981723,50553952,51235804
49627964,49758097,50359765,49513174,49290141
51004676,51026452,49448210,49794447,51149973
50908276,50948554,51008746,51132131,51645914
51020779,51797924,49375554,50053774,50293897
50696927,51372629,51520013,50834469,50722791
50146165,50779133,52530501,50240498,50469805
50363706,51582092,49926552,51481030,51882987
51274292,49771224,49929510,49456296,51826136
49027678,48663729,52219574,50325239,52438070
50723652,50005299,48039336,52062368,50588594
51018306,49990346,49667582,51286368,49326757
51264881,49221604,51498184,49948079,51216252
51548364,51301611,50306343,51304875,52149201
49791760,52514169,51795714,49870018,49430373
51903321,51017112,51494756,52445027,51744082
50003662,51252518,51187865,50910737,51801224
50402662,50854026,50720966,50643832,49770251
50519885,51410584,51589404,50731850,49960330
50239677,51027593,51312902,48773755,51317264
50831619,50044535,51599998,49975563,51148913
50928806,50823570,49352638,49423835,51775262
51539689,49723786,51128580,50398777,51430988
51178313,52571666,49078798,50118165,50770394
51881233,51195085,51002790,52266021,50728817
